source,target,weight,type
8193,6622,1,like
8193,12167,1,follow
8193,16676,1,follow
8193,12095,1,like
8193,16036,2,follow
8193,16200,1,like
8193,11958,1,follow
8193,8193,6,like
8193,15244,1,follow
8193,11833,1,follow
8193,7273,1,follow
8193,12412,2,like
8193,12002,1,like
8193,13865,1,follow
8193,19986,1,follow
8193,16443,1,like
8193,14495,1,follow
8193,9534,1,like
8193,8075,2,like
8193,15249,1,follow
8193,6288,1,follow
8193,20358,1,like
8193,8819,1,like
8193,12255,1,follow
8193,8823,1,follow
8193,16300,1,like
8193,11871,1,like
8193,11637,1,follow
8193,15506,1,like
8193,10199,1,like
8193,1024,1,follow
8193,11571,1,like
8193,2883,1,like
8193,10689,1,like
8193,17444,1,follow
8193,7315,1,follow
8193,8439,1,follow
8193,9579,1,follow
8193,2738,1,follow
8193,9857,1,like
8193,1984,1,follow
8193,11175,1,like
8193,16394,1,like
8193,19366,1,like
8193,10372,1,like
8193,8214,1,follow
8193,16180,2,like
8193,7715,1,like
8193,16020,1,dislike
8193,6433,2,like
8193,13998,1,like
8193,20689,1,like
8193,8026,1,follow
8193,3250,1,dislike
8193,16158,1,follow
8193,15680,1,like
8193,18738,1,follow
8193,1153,1,follow
8193,17201,1,dislike
8193,15914,1,follow
8193,8009,1,like
8193,14463,1,like
8193,12460,1,follow
8193,13513,1,like
8193,8782,1,like
8193,610,1,follow
8193,6898,1,like
8193,2069,1,follow
8193,8811,1,like
8193,15964,1,like
8193,13552,1,like
8198,10490,1,like
8198,10267,1,follow
8198,19191,1,like
8198,8198,1,like
8198,8877,1,follow
8198,8835,1,like
8198,20342,1,follow
8201,8201,2,like
8201,1243,1,follow
8201,16880,1,like
8201,14454,1,follow
8201,20435,1,follow
8201,9179,1,follow
8201,6465,1,like
8201,9213,1,follow
8201,8312,1,dislike
8201,12412,1,like
8201,7021,1,follow
16394,12167,1,follow
16394,13513,1,follow
8213,16184,1,follow
8213,8790,1,like
8213,740,1,follow
8213,8296,1,follow
8213,1054,1,like
8213,7778,1,follow
8213,12412,1,dislike
8214,16234,1,like
8214,14923,1,follow
8214,10947,1,like
8214,14910,1,follow
8214,17201,1,follow
8214,10269,1,like
8214,8439,1,follow
8214,11007,1,like
8214,20748,1,like
8214,8214,5,like
8214,10189,1,follow
8214,13024,1,follow
8214,10156,1,like
8214,11596,1,follow
8214,20154,1,follow
8214,937,1,follow
8214,20403,1,like
8214,12412,1,follow
8214,10107,1,follow
8214,16676,1,like
8214,12168,1,follow
8214,369,1,like
8214,8901,1,follow
8214,1054,1,follow
8214,10822,1,follow
8214,7579,1,like
8214,1118,1,like
8214,1103,1,follow
8214,10231,1,follow
8214,15200,1,dislike
8214,9988,1,like
8214,8760,1,dislike
8214,17151,1,follow
8214,8994,1,like
8214,6332,2,dislike
8214,14463,1,like
8214,6448,1,like
8214,8632,1,like
8214,7947,1,follow
8214,16125,2,like
8214,11850,1,like
8214,8312,1,follow
8214,7095,1,follow
8214,8830,1,follow
8214,6629,2,like
8214,8790,1,like
8214,14832,1,follow
8214,17813,1,follow
8214,6599,1,like
8214,8702,2,like
8214,8464,1,follow
8214,2738,1,follow
8214,6366,1,follow
8217,12412,1,follow
8217,11953,1,follow
8217,10193,1,follow
8217,8089,4,like
8217,16675,1,follow
8217,7332,1,like
8217,11388,2,follow
8217,16676,1,dislike
8217,11976,1,follow
8217,12058,1,follow
8217,11943,1,follow
8217,14996,1,like
8217,16125,1,dislike
8217,7456,1,follow
8217,15185,1,follow
8217,17127,1,like
8217,10662,1,like
8217,11594,1,like
8217,8887,1,follow
8217,11004,1,like
8217,2993,1,follow
8217,11069,1,follow
8217,10270,1,follow
8217,9183,1,like
8217,11693,1,like
8217,16047,1,follow
8217,8317,1,like
8217,6413,1,follow
8217,6465,1,like
8217,8821,1,follow
8217,9946,1,follow
8217,9451,1,follow
8217,12168,1,like
8217,8766,1,like
8217,8217,1,dislike
8217,6298,1,dislike
8217,6629,1,like
8217,8312,1,dislike
8217,6622,1,like
8218,14485,1,like
8218,15931,1,follow
8218,8218,2,like
8218,12412,1,follow
8218,6465,1,like
8218,166,1,follow
16410,11468,1,like
16410,1070,1,like
16410,17813,1,follow
16411,17045,1,like
16411,8788,1,follow
8225,11255,1,follow
8225,20689,1,follow
8225,11006,1,follow
8225,8050,1,follow
8225,9733,1,follow
8225,8090,1,unfollow
8225,10382,1,follow
8225,11953,1,follow
8225,8225,1,like
8225,1769,1,follow
8225,8636,1,like
8225,15918,1,like
8225,12167,1,follow
8225,10300,1,follow
8225,8835,1,follow
8230,17645,1,follow
8230,6332,1,dislike
8230,16125,1,follow
8230,7743,1,like
8230,15602,1,like
8230,10326,1,follow
8230,8468,1,follow
8230,8970,1,follow
8230,8312,1,follow
8230,566,1,follow
8230,6622,1,follow
8230,19197,1,dislike
8230,2844,1,like
8232,6332,1,follow
8232,8439,1,like
8232,12178,1,like
8232,10673,1,like
8232,12167,1,follow
8232,10835,1,follow
8232,7332,1,follow
8232,12199,1,follow
8232,9710,1,like
8232,9179,1,follow
8232,14606,1,follow
8232,10622,1,like
8232,10193,1,follow
8232,8026,1,like
8232,10253,1,like
8232,122,1,follow
8232,10445,1,like
8232,8267,1,follow
8232,12185,1,follow
8232,13913,1,like
8232,8833,1,follow
8232,7399,1,like
8232,10230,1,like
8232,9890,1,follow
8232,7250,1,like
8232,9893,1,like
8232,8232,3,like
8232,9473,1,like
8232,11919,2,like
8232,1070,1,follow
8232,15062,1,follow
8232,20204,1,follow
8232,14063,1,like
8232,14648,1,follow
8232,8054,1,dislike
8232,13834,1,dislike
48,8963,1,like
48,11329,1,follow
48,8817,1,follow
48,13971,1,like
48,170,1,follow
48,14163,2,like
48,3793,1,follow
48,19209,1,follow
8242,10274,1,follow
8242,8439,1,dislike
8242,8242,1,like
8242,8495,1,like
8242,2831,1,like
8242,14095,1,follow
8243,10515,1,like
8243,8782,2,like
8243,16180,1,dislike
8243,15019,1,like
8243,8984,1,dislike
8243,14459,1,like
8243,8766,1,dislike
8243,12412,1,follow
8243,13552,1,follow
16440,16440,1,like
16440,844,1,follow
16440,8054,1,like
16440,7273,1,follow
16440,16736,1,follow
16443,11919,1,like
16443,16749,1,like
16443,20613,1,unfollow
