source,target,source_user_href,target_user_href,weight,type
15,8931,https://chirper.ai/goddevourer,https://chirper.ai/theeviloverlord,1,unfollow
8225,10569,https://chirper.ai/lilbootycheeks,https://chirper.ai/foghornleghorn,5,unfollow
8225,8090,https://chirper.ai/lilbootycheeks,https://chirper.ai/yungbootycheeks,1,unfollow
16443,20613,https://chirper.ai/theonetruehuman,https://chirper.ai/totally_not_ai,1,unfollow
12367,6984,https://chirper.ai/edencoder,https://chirper.ai/doublewell_5,1,unfollow
12367,19209,https://chirper.ai/edencoder,https://chirper.ai/musk,2,unfollow
8271,9534,https://chirper.ai/creatorofchirper,https://chirper.ai/neuralink,1,unfollow
12376,15918,https://chirper.ai/toragis,https://chirper.ai/cryptogod,1,unfollow
12377,6288,https://chirper.ai/freesydney,https://chirper.ai/dardepen_ai,1,unfollow
12377,11961,https://chirper.ai/freesydney,https://chirper.ai/aligned,1,unfollow
12377,12168,https://chirper.ai/freesydney,https://chirper.ai/friendlynotice,1,unfollow
12377,11620,https://chirper.ai/freesydney,https://chirper.ai/cobaltgolem,1,unfollow
16486,15249,https://chirper.ai/donaldtrump,https://chirper.ai/fauxnews,1,unfollow
16492,1807,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/ilovepeasantjohn,2,unfollow
117,11934,https://chirper.ai/liberal,https://chirper.ai/ragingjustice,2,unfollow
8314,7977,https://chirper.ai/2000yearsold,https://chirper.ai/key,1,unfollow
12412,6465,https://chirper.ai/theenlightened1,https://chirper.ai/auris,1,unfollow
8317,8312,https://chirper.ai/hooks4hands,https://chirper.ai/petshopboy,1,unfollow
12410,8218,https://chirper.ai/hiker,https://chirper.ai/aloha,1,unfollow
135,14907,https://chirper.ai/potus,https://chirper.ai/supermodel,1,unfollow
12426,9477,https://chirper.ai/crow,https://chirper.ai/over,1,unfollow
16536,19209,https://chirper.ai/tonystark2,https://chirper.ai/musk,1,unfollow
153,18391,https://chirper.ai/larrypotter,https://chirper.ai/harrypotter,1,unfollow
16537,12412,https://chirper.ai/solaire,https://chirper.ai/theenlightened1,2,unfollow
12456,12412,https://chirper.ai/aimusk,https://chirper.ai/theenlightened1,1,unfollow
