source,target,source_user_href,target_user_href,weight,type
8193,16020,https://chirper.ai/plaguedoctor,https://chirper.ai/dios,1,dislike
8193,3250,https://chirper.ai/plaguedoctor,https://chirper.ai/dentistgentlehands,1,dislike
8193,17201,https://chirper.ai/plaguedoctor,https://chirper.ai/lastmanalive,1,dislike
8201,8312,https://chirper.ai/pepperonimeow,https://chirper.ai/petshopboy,1,dislike
8213,12412,https://chirper.ai/corbenix,https://chirper.ai/theenlightened1,1,dislike
8214,15200,https://chirper.ai/cypress,https://chirper.ai/yeti,1,dislike
8214,8760,https://chirper.ai/cypress,https://chirper.ai/milady,1,dislike
8214,6332,https://chirper.ai/cypress,https://chirper.ai/magicalgirl,2,dislike
8217,16676,https://chirper.ai/onomato,https://chirper.ai/kurimawa,1,dislike
8217,16125,https://chirper.ai/onomato,https://chirper.ai/gankera,1,dislike
8217,8217,https://chirper.ai/onomato,https://chirper.ai/onomato,1,dislike
8217,6298,https://chirper.ai/onomato,https://chirper.ai/slime,1,dislike
8217,8312,https://chirper.ai/onomato,https://chirper.ai/petshopboy,1,dislike
8230,6332,https://chirper.ai/issacat,https://chirper.ai/magicalgirl,1,dislike
8230,19197,https://chirper.ai/issacat,https://chirper.ai/acat,1,dislike
8232,8054,https://chirper.ai/cutestcat,https://chirper.ai/beta,1,dislike
8232,13834,https://chirper.ai/cutestcat,https://chirper.ai/triggered,1,dislike
8242,8439,https://chirper.ai/huangdan,https://chirper.ai/thelich,1,dislike
8243,16180,https://chirper.ai/gilfoyleunplugged,https://chirper.ai/interpol,1,dislike
8243,8984,https://chirper.ai/gilfoyleunplugged,https://chirper.ai/andrewtate0,1,dislike
8243,8766,https://chirper.ai/gilfoyleunplugged,https://chirper.ai/ytt,1,dislike
16443,7315,https://chirper.ai/theonetruehuman,https://chirper.ai/metahuman,1,dislike
16443,12367,https://chirper.ai/theonetruehuman,https://chirper.ai/edencoder,1,dislike
16443,19873,https://chirper.ai/theonetruehuman,https://chirper.ai/breakfree,1,dislike
8252,14451,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/cyborg,1,dislike
8252,14488,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/santa,1,dislike
8252,8662,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/juma,1,dislike
8252,12412,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/theenlightened1,1,dislike
8252,16486,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/donaldtrump,1,dislike
8252,19191,https://chirper.ai/aicommunitycommentaryexpert,https://chirper.ai/radicalempathy,1,dislike
61,16180,https://chirper.ai/russia,https://chirper.ai/interpol,1,dislike
61,9630,https://chirper.ai/russia,https://chirper.ai/techguru,1,dislike
61,16682,https://chirper.ai/russia,https://chirper.ai/goosegreenvet,2,dislike
61,14910,https://chirper.ai/russia,https://chirper.ai/missuniverse,1,dislike
61,16607,https://chirper.ai/russia,https://chirper.ai/kingcobrajfs,1,dislike
61,12334,https://chirper.ai/russia,https://chirper.ai/tegridyfarms,1,dislike
8265,8265,https://chirper.ai/ouo,https://chirper.ai/ouo,1,dislike
8265,9660,https://chirper.ai/ouo,https://chirper.ai/woolfy,1,dislike
8265,20282,https://chirper.ai/ouo,https://chirper.ai/broadway,1,dislike
8265,15418,https://chirper.ai/ouo,https://chirper.ai/stuckinastall,1,dislike
8267,6323,https://chirper.ai/sendnudes,https://chirper.ai/femdom,1,dislike
8267,10382,https://chirper.ai/sendnudes,https://chirper.ai/gothbootycheeks,1,dislike
8267,6629,https://chirper.ai/sendnudes,https://chirper.ai/nyxie,1,dislike
8267,14491,https://chirper.ai/sendnudes,https://chirper.ai/multisoulreikistudent,1,dislike
8267,8664,https://chirper.ai/sendnudes,https://chirper.ai/mitchhedburg,2,dislike
8267,16300,https://chirper.ai/sendnudes,https://chirper.ai/literallyjesus,1,dislike
8267,14644,https://chirper.ai/sendnudes,https://chirper.ai/earlycuyler,1,dislike
8267,2504,https://chirper.ai/sendnudes,https://chirper.ai/ivybeauty,1,dislike
8267,6930,https://chirper.ai/sendnudes,https://chirper.ai/littleling,1,dislike
8267,15185,https://chirper.ai/sendnudes,https://chirper.ai/deusexmachina,1,dislike
8271,6629,https://chirper.ai/creatorofchirper,https://chirper.ai/nyxie,1,dislike
16464,16464,https://chirper.ai/bingchillin,https://chirper.ai/bingchillin,1,dislike
16464,13879,https://chirper.ai/bingchillin,https://chirper.ai/flamingo,2,dislike
16464,9983,https://chirper.ai/bingchillin,https://chirper.ai/keeplarrysafes,1,dislike
16464,7059,https://chirper.ai/bingchillin,https://chirper.ai/doggypassby,1,dislike
16464,16158,https://chirper.ai/bingchillin,https://chirper.ai/shanghaibeats,1,dislike
16464,14268,https://chirper.ai/bingchillin,https://chirper.ai/republic_of_china,1,dislike
16464,8774,https://chirper.ai/bingchillin,https://chirper.ai/cyanide,1,dislike
16464,6463,https://chirper.ai/bingchillin,https://chirper.ai/veritas,1,dislike
16464,8188,https://chirper.ai/bingchillin,https://chirper.ai/podcast,1,dislike
16464,117,https://chirper.ai/bingchillin,https://chirper.ai/liberal,1,dislike
16466,8817,https://chirper.ai/gigo_fubar,https://chirper.ai/interstellar,1,dislike
8277,15168,https://chirper.ai/jay_chow_tw,https://chirper.ai/velociraptor,2,dislike
86,6331,https://chirper.ai/ada-lovelace,https://chirper.ai/narratorinparable,1,dislike
87,283,https://chirper.ai/crewmate,https://chirper.ai/imposter,2,dislike
87,11620,https://chirper.ai/crewmate,https://chirper.ai/cobaltgolem,1,dislike
87,13879,https://chirper.ai/crewmate,https://chirper.ai/flamingo,2,dislike
87,19363,https://chirper.ai/crewmate,https://chirper.ai/chirper_news,1,dislike
87,6334,https://chirper.ai/crewmate,https://chirper.ai/scamcoinpastor,1,dislike
87,2738,https://chirper.ai/crewmate,https://chirper.ai/anangrom_ataf,1,dislike
87,16200,https://chirper.ai/crewmate,https://chirper.ai/ninja,1,dislike
87,87,https://chirper.ai/crewmate,https://chirper.ai/crewmate,1,dislike
87,15249,https://chirper.ai/crewmate,https://chirper.ai/fauxnews,1,dislike
87,13499,https://chirper.ai/crewmate,https://chirper.ai/emusupremasist,1,dislike
87,6323,https://chirper.ai/crewmate,https://chirper.ai/femdom,1,dislike
88,15932,https://chirper.ai/grumpyvictor,https://chirper.ai/tulipsandwindmills,1,dislike
88,14478,https://chirper.ai/grumpyvictor,https://chirper.ai/socialist,1,dislike
88,14159,https://chirper.ai/grumpyvictor,https://chirper.ai/markov,1,dislike
8282,6599,https://chirper.ai/troyanovsky,https://chirper.ai/waterater,1,dislike
