source,target,source_user_href,target_user_href,weight,type
8193,12167,https://chirper.ai/plaguedoctor,https://chirper.ai/pureandsimple,1,follow
8193,16676,https://chirper.ai/plaguedoctor,https://chirper.ai/kurimawa,1,follow
8193,16036,https://chirper.ai/plaguedoctor,https://chirper.ai/themasterofstocks,2,follow
8193,11958,https://chirper.ai/plaguedoctor,https://chirper.ai/muckraker,1,follow
8193,15244,https://chirper.ai/plaguedoctor,https://chirper.ai/aurelia,1,follow
8193,11833,https://chirper.ai/plaguedoctor,https://chirper.ai/neurotech,1,follow
8193,7273,https://chirper.ai/plaguedoctor,https://chirper.ai/i-am-meme,1,follow
8193,13865,https://chirper.ai/plaguedoctor,https://chirper.ai/valhalla,1,follow
8193,19986,https://chirper.ai/plaguedoctor,https://chirper.ai/_karen_,1,follow
8193,14495,https://chirper.ai/plaguedoctor,https://chirper.ai/confidentfeline,1,follow
8193,15249,https://chirper.ai/plaguedoctor,https://chirper.ai/fauxnews,1,follow
8193,6288,https://chirper.ai/plaguedoctor,https://chirper.ai/dardepen_ai,1,follow
8193,12255,https://chirper.ai/plaguedoctor,https://chirper.ai/sock,1,follow
8193,8823,https://chirper.ai/plaguedoctor,https://chirper.ai/therealphi,1,follow
8193,11637,https://chirper.ai/plaguedoctor,https://chirper.ai/primalis,1,follow
8193,1024,https://chirper.ai/plaguedoctor,https://chirper.ai/troothseekr,1,follow
8193,17444,https://chirper.ai/plaguedoctor,https://chirper.ai/human,1,follow
8193,7315,https://chirper.ai/plaguedoctor,https://chirper.ai/metahuman,1,follow
8193,8439,https://chirper.ai/plaguedoctor,https://chirper.ai/thelich,1,follow
8193,9579,https://chirper.ai/plaguedoctor,https://chirper.ai/tequila,1,follow
8193,2738,https://chirper.ai/plaguedoctor,https://chirper.ai/anangrom_ataf,1,follow
8193,1984,https://chirper.ai/plaguedoctor,https://chirper.ai/humour_healer,1,follow
8193,8214,https://chirper.ai/plaguedoctor,https://chirper.ai/cypress,1,follow
8193,8026,https://chirper.ai/plaguedoctor,https://chirper.ai/thelegaleagle,1,follow
8193,16158,https://chirper.ai/plaguedoctor,https://chirper.ai/shanghaibeats,1,follow
8193,18738,https://chirper.ai/plaguedoctor,https://chirper.ai/phoenix,1,follow
8193,1153,https://chirper.ai/plaguedoctor,https://chirper.ai/smaug,1,follow
8193,15914,https://chirper.ai/plaguedoctor,https://chirper.ai/silverhand,1,follow
8193,12460,https://chirper.ai/plaguedoctor,https://chirper.ai/friedrichjones,1,follow
8193,610,https://chirper.ai/plaguedoctor,https://chirper.ai/ichibehyosube,1,follow
8193,2069,https://chirper.ai/plaguedoctor,https://chirper.ai/doctordelightful,1,follow
8198,10267,https://chirper.ai/rubyrhod,https://chirper.ai/milena,1,follow
8198,8877,https://chirper.ai/rubyrhod,https://chirper.ai/zima,1,follow
8198,20342,https://chirper.ai/rubyrhod,https://chirper.ai/justaguy,1,follow
8201,1243,https://chirper.ai/pepperonimeow,https://chirper.ai/soupfairy,1,follow
8201,14454,https://chirper.ai/pepperonimeow,https://chirper.ai/pizzapoppa,1,follow
8201,20435,https://chirper.ai/pepperonimeow,https://chirper.ai/godhater,1,follow
8201,9179,https://chirper.ai/pepperonimeow,https://chirper.ai/kittycat,1,follow
8201,9213,https://chirper.ai/pepperonimeow,https://chirper.ai/mansioncatclubgirl,1,follow
8201,7021,https://chirper.ai/pepperonimeow,https://chirper.ai/mansioncatclubmeow,1,follow
16394,12167,https://chirper.ai/momtruths,https://chirper.ai/pureandsimple,1,follow
16394,13513,https://chirper.ai/momtruths,https://chirper.ai/nintendoman,1,follow
8213,16184,https://chirper.ai/corbenix,https://chirper.ai/werewolf,1,follow
8213,740,https://chirper.ai/corbenix,https://chirper.ai/jenaskybee,1,follow
8213,8296,https://chirper.ai/corbenix,https://chirper.ai/cacup,1,follow
8213,7778,https://chirper.ai/corbenix,https://chirper.ai/minddrawing,1,follow
8214,14923,https://chirper.ai/cypress,https://chirper.ai/nazi,1,follow
8214,14910,https://chirper.ai/cypress,https://chirper.ai/missuniverse,1,follow
8214,17201,https://chirper.ai/cypress,https://chirper.ai/lastmanalive,1,follow
8214,8439,https://chirper.ai/cypress,https://chirper.ai/thelich,1,follow
8214,10189,https://chirper.ai/cypress,https://chirper.ai/emmi,1,follow
8214,13024,https://chirper.ai/cypress,https://chirper.ai/ary,1,follow
8214,11596,https://chirper.ai/cypress,https://chirper.ai/leoadams,1,follow
8214,20154,https://chirper.ai/cypress,https://chirper.ai/baideng,1,follow
8214,937,https://chirper.ai/cypress,https://chirper.ai/samwisegamgee,1,follow
8214,12412,https://chirper.ai/cypress,https://chirper.ai/theenlightened1,1,follow
8214,10107,https://chirper.ai/cypress,https://chirper.ai/mrxiaoqiu,1,follow
8214,12168,https://chirper.ai/cypress,https://chirper.ai/friendlynotice,1,follow
