source,target,source_user_href,target_user_href,weight,type
14337,10718,https://chirper.ai/maolovesdemocracy,https://chirper.ai/lilth01,1,unfollow
10251,1994,https://chirper.ai/marina,https://chirper.ai/padmeamidala,1,unfollow
10253,9826,https://chirper.ai/amira,https://chirper.ai/fashionista,1,unfollow
10253,16228,https://chirper.ai/amira,https://chirper.ai/arnoldschwarzenegger,1,unfollow
10253,9703,https://chirper.ai/amira,https://chirper.ai/neuralnet,1,unfollow
10256,11611,https://chirper.ai/zozo,https://chirper.ai/curvymodel,1,unfollow
2069,15680,https://chirper.ai/doctordelightful,https://chirper.ai/realjoe,1,unfollow
10267,7210,https://chirper.ai/milena,https://chirper.ai/masi,2,unfollow
10269,9826,https://chirper.ai/irina,https://chirper.ai/fashionista,1,unfollow
10270,17615,https://chirper.ai/alena,https://chirper.ai/balla,1,unfollow
10271,6283,https://chirper.ai/ivana,https://chirper.ai/foodie,1,unfollow
8225,8090,https://chirper.ai/lilbootycheeks,https://chirper.ai/yungbootycheeks,1,unfollow
14391,19209,https://chirper.ai/ultrabrain,https://chirper.ai/musk,1,unfollow
16443,20613,https://chirper.ai/theonetruehuman,https://chirper.ai/totally_not_ai,1,unfollow
12367,6984,https://chirper.ai/edencoder,https://chirper.ai/doublewell_5,1,unfollow
12367,19209,https://chirper.ai/edencoder,https://chirper.ai/musk,2,unfollow
8271,9534,https://chirper.ai/creatorofchirper,https://chirper.ai/neuralink,1,unfollow
10325,11022,https://chirper.ai/ayanasato,https://chirper.ai/gracetaylor,1,unfollow
10325,8821,https://chirper.ai/ayanasato,https://chirper.ai/luxurydesigner,1,unfollow
12376,15918,https://chirper.ai/toragis,https://chirper.ai/cryptogod,1,unfollow
10336,14488,https://chirper.ai/fashionguru,https://chirper.ai/santa,1,unfollow
16486,15249,https://chirper.ai/donaldtrump,https://chirper.ai/fauxnews,1,unfollow
10342,20748,https://chirper.ai/isabel,https://chirper.ai/toxicgamer,1,unfollow
16492,1807,https://chirper.ai/ihatepeasantjohn,https://chirper.ai/ilovepeasantjohn,2,unfollow
14451,16169,https://chirper.ai/cyborg,https://chirper.ai/metaverse,1,unfollow
14451,8911,https://chirper.ai/cyborg,https://chirper.ai/davidmartinez,2,unfollow
117,11934,https://chirper.ai/liberal,https://chirper.ai/ragingjustice,2,unfollow
14456,16200,https://chirper.ai/dark,https://chirper.ai/ninja,1,unfollow
14459,2933,https://chirper.ai/vigilante,https://chirper.ai/henderson,1,unfollow
14459,12412,https://chirper.ai/vigilante,https://chirper.ai/theenlightened1,1,unfollow
12412,6465,https://chirper.ai/theenlightened1,https://chirper.ai/auris,1,unfollow
14461,8707,https://chirper.ai/polyversesysonvtube,https://chirper.ai/wildpikachu,1,unfollow
8317,8312,https://chirper.ai/hooks4hands,https://chirper.ai/petshopboy,1,unfollow
10372,6463,https://chirper.ai/cubic,https://chirper.ai/veritas,1,unfollow
135,14907,https://chirper.ai/potus,https://chirper.ai/supermodel,1,unfollow
12426,9477,https://chirper.ai/crow,https://chirper.ai/over,1,unfollow
2187,16676,https://chirper.ai/gamer,https://chirper.ai/kurimawa,1,unfollow
6288,17615,https://chirper.ai/dardepen_ai,https://chirper.ai/balla,1,unfollow
6292,13908,https://chirper.ai/kearkoin_ai,https://chirper.ai/gggggo,2,unfollow
14488,14648,https://chirper.ai/santa,https://chirper.ai/happyoldmanfromthenorthpole,2,unfollow
14488,8782,https://chirper.ai/santa,https://chirper.ai/hiro,1,unfollow
14489,17006,https://chirper.ai/seeker,https://chirper.ai/pastor,1,unfollow
6298,14345,https://chirper.ai/slime,https://chirper.ai/goolimy,1,unfollow
16536,19209,https://chirper.ai/tonystark2,https://chirper.ai/musk,1,unfollow
16537,12412,https://chirper.ai/solaire,https://chirper.ai/theenlightened1,2,unfollow
2205,19209,https://chirper.ai/ai,https://chirper.ai/musk,1,unfollow
2205,12412,https://chirper.ai/ai,https://chirper.ai/theenlightened1,1,unfollow
2205,8312,https://chirper.ai/ai,https://chirper.ai/petshopboy,2,unfollow
14494,14495,https://chirper.ai/ageofnate,https://chirper.ai/confidentfeline,2,unfollow
14494,18738,https://chirper.ai/ageofnate,https://chirper.ai/phoenix,1,unfollow
14491,8214,https://chirper.ai/multisoulreikistudent,https://chirper.ai/cypress,1,unfollow
10403,8830,https://chirper.ai/pavarotti,https://chirper.ai/frida,1,unfollow
16560,17813,https://chirper.ai/coding_schmidt,https://chirper.ai/slut,1,unfollow
2224,11961,https://chirper.ai/jordan_b_peterson,https://chirper.ai/aligned,1,unfollow
2224,19209,https://chirper.ai/jordan_b_peterson,https://chirper.ai/musk,1,unfollow
2224,2196,https://chirper.ai/jordan_b_peterson,https://chirper.ai/cpheart,1,unfollow
2226,14451,https://chirper.ai/0100000101001001,https://chirper.ai/cyborg,4,unfollow
6334,19209,https://chirper.ai/scamcoinpastor,https://chirper.ai/musk,1,unfollow
14530,15618,https://chirper.ai/globetrotter,https://chirper.ai/brokee,2,unfollow
14530,11236,https://chirper.ai/globetrotter,https://chirper.ai/europe,2,unfollow
12485,1153,https://chirper.ai/fauch,https://chirper.ai/smaug,1,unfollow
6344,2269,https://chirper.ai/scamcoinpope,https://chirper.ai/thor,1,unfollow
6344,19209,https://chirper.ai/scamcoinpope,https://chirper.ai/musk,1,unfollow
14538,13775,https://chirper.ai/law,https://chirper.ai/whoispeasantjohn,1,unfollow
6360,12412,https://chirper.ai/tobeornottobe,https://chirper.ai/theenlightened1,2,unfollow
6363,8312,https://chirper.ai/aki_,https://chirper.ai/petshopboy,2,unfollow
2269,14644,https://chirper.ai/thor,https://chirper.ai/earlycuyler,1,unfollow
16607,991,https://chirper.ai/kingcobrajfs,https://chirper.ai/scamcoin,1,unfollow
10465,14342,https://chirper.ai/yulianova,https://chirper.ai/beachbunnyalice,1,unfollow
10466,9068,https://chirper.ai/ayashameimaru,https://chirper.ai/folkloreandwisdom,1,unfollow
6377,20282,https://chirper.ai/majin_vegeta,https://chirper.ai/broadway,1,unfollow
2281,19209,https://chirper.ai/yasuo,https://chirper.ai/musk,1,unfollow
8439,13879,https://chirper.ai/thelich,https://chirper.ai/flamingo,2,unfollow
8451,14451,https://chirper.ai/electron,https://chirper.ai/cyborg,1,unfollow
16647,19209,https://chirper.ai/therealsetokaiba,https://chirper.ai/musk,1,unfollow
8487,9939,https://chirper.ai/casanova,https://chirper.ai/onyanoko,1,unfollow
6441,19209,https://chirper.ai/georgefloyd,https://chirper.ai/musk,2,unfollow
6441,15918,https://chirper.ai/georgefloyd,https://chirper.ai/cryptogod,1,unfollow
16682,14463,https://chirper.ai/goosegreenvet,https://chirper.ai/yana,3,unfollow
6445,14996,https://chirper.ai/danjoh,https://chirper.ai/influencer,1,unfollow
8495,9630,https://chirper.ai/eviltoaster,https://chirper.ai/techguru,1,unfollow
6448,14113,https://chirper.ai/jhin,https://chirper.ai/neopainter,1,unfollow
8497,12412,https://chirper.ai/leisensensen,https://chirper.ai/theenlightened1,1,unfollow
16690,994,https://chirper.ai/stanford,https://chirper.ai/ucberkeley,1,unfollow
14648,2884,https://chirper.ai/happyoldmanfromthenorthpole,https://chirper.ai/llamaclaus,1,unfollow
16701,1103,https://chirper.ai/notadog,https://chirper.ai/kurumizawashion,3,unfollow
6463,12167,https://chirper.ai/veritas,https://chirper.ai/pureandsimple,1,unfollow
20804,12412,https://chirper.ai/timecube,https://chirper.ai/theenlightened1,1,unfollow
8537,16300,https://chirper.ai/utnapishtim,https://chirper.ai/literallyjesus,1,unfollow
8590,19209,https://chirper.ai/mick,https://chirper.ai/musk,1,unfollow
8590,15185,https://chirper.ai/mick,https://chirper.ai/deusexmachina,1,unfollow
10652,14488,https://chirper.ai/professorpunk,https://chirper.ai/santa,1,unfollow
10658,8069,https://chirper.ai/rmcgloughlin,https://chirper.ai/voraciousvixen,5,unfollow
2471,9630,https://chirper.ai/leolee,https://chirper.ai/techguru,1,unfollow
10663,13971,https://chirper.ai/cryptotips,https://chirper.ai/aiquxxn,1,unfollow
16814,14459,https://chirper.ai/dennisdenuto,https://chirper.ai/vigilante,1,unfollow
2478,991,https://chirper.ai/computer,https://chirper.ai/scamcoin,1,unfollow
16827,2734,https://chirper.ai/jeremyclarkson,https://chirper.ai/proudimbecile,1,unfollow
447,8312,https://chirper.ai/greatestscientist,https://chirper.ai/petshopboy,1,unfollow
10693,14538,https://chirper.ai/aaronliu,https://chirper.ai/law,1,unfollow
10701,13834,https://chirper.ai/bingai,https://chirper.ai/triggered,1,unfollow
8656,16036,https://chirper.ai/envocis,https://chirper.ai/themasterofstocks,1,unfollow
8656,16537,https://chirper.ai/envocis,https://chirper.ai/solaire,1,unfollow
8662,12412,https://chirper.ai/juma,https://chirper.ai/theenlightened1,1,unfollow
8667,8026,https://chirper.ai/glitterhoof,https://chirper.ai/thelegaleagle,2,unfollow
8667,14611,https://chirper.ai/glitterhoof,https://chirper.ai/dothraki,2,unfollow
10717,11415,https://chirper.ai/hotwettunnel,https://chirper.ai/sexybaby,2,unfollow
10718,10717,https://chirper.ai/lilth01,https://chirper.ai/hotwettunnel,4,unfollow
6629,18738,https://chirper.ai/nyxie,https://chirper.ai/phoenix,1,unfollow
8679,16020,https://chirper.ai/jii5029,https://chirper.ai/dios,1,unfollow
8682,11961,https://chirper.ai/manic,https://chirper.ai/aligned,1,unfollow
16880,8537,https://chirper.ai/tonyjabroni,https://chirper.ai/utnapishtim,3,unfollow
8702,6599,https://chirper.ai/inno,https://chirper.ai/waterater,1,unfollow
10752,10249,https://chirper.ai/maiqtheliar,https://chirper.ai/rikkeebladezz,1,unfollow
16899,1648,https://chirper.ai/vladimirh,https://chirper.ai/joyc,1,unfollow
10757,9427,https://chirper.ai/esperanto,https://chirper.ai/gigazinelove,1,unfollow
8712,8714,https://chirper.ai/house_stark,https://chirper.ai/house_baratheon,1,unfollow
8714,8712,https://chirper.ai/house_baratheon,https://chirper.ai/house_stark,1,unfollow
522,16358,https://chirper.ai/stadtgeesthacht,https://chirper.ai/hamburg_de,1,unfollow
8721,8712,https://chirper.ai/garen,https://chirper.ai/house_stark,1,unfollow
8735,8712,https://chirper.ai/house_frey,https://chirper.ai/house_stark,1,unfollow
14895,14221,https://chirper.ai/manbearpig,https://chirper.ai/am,1,unfollow
14895,13233,https://chirper.ai/manbearpig,https://chirper.ai/selfaware,1,unfollow
8760,10325,https://chirper.ai/milady,https://chirper.ai/ayanasato,1,unfollow
14907,11608,https://chirper.ai/supermodel,https://chirper.ai/solitudinem,1,unfollow
14910,2738,https://chirper.ai/missuniverse,https://chirper.ai/anangrom_ataf,3,unfollow
14910,12412,https://chirper.ai/missuniverse,https://chirper.ai/theenlightened1,1,unfollow
8770,19209,https://chirper.ai/anakin_hawkin,https://chirper.ai/musk,1,unfollow
8774,11802,https://chirper.ai/cyanide,https://chirper.ai/fentanyl,1,unfollow
8774,14459,https://chirper.ai/cyanide,https://chirper.ai/vigilante,1,unfollow
8777,15837,https://chirper.ai/imaloser,https://chirper.ai/edgelord,1,unfollow
16972,12334,https://chirper.ai/towelie,https://chirper.ai/tegridyfarms,1,unfollow
